DATE,Top100_Liquidity_Index,NIFTY50_Liquidity_Index_Raw,NIFTY50_Liquidity_Index_30D,NIFTY50_Liquidity_Index,Top100_Normalized,NIFTY50_Normalized
2013-09-26,-0.7694556759815709,0.6923638616818608,-0.07484864434249852,0.5006900672598666,-0.8125935234946139,0.38964317209721905
2013-09-27,-1.3712332906125957,0.28699988555460026,-0.0842696278590789,0.20754692720795934,-1.4318248316384454,0.030816832806840198
2013-09-30,-1.8260504864870397,0.2545150648024011,-0.041375084372470235,0.1840551940492796,-1.8998333456147003,0.0020614179217337703
2013-10-01,-1.7933674711914378,0.31672034249399705,-0.020794214007794,0.22903958216518502,-1.8662024065044287,0.05712524547706987
2013-10-03,-1.5088082756066548,0.06634291880706714,-0.018599712692085768,0.04797656596205982,-1.5733899810466254,-0.16450770582971358
2013-10-04,-0.9521204372984821,0.5624412634860562,0.03403842702669597,0.4067352004197415,-1.0005562132856012,0.27463628187700984
2013-10-07,-1.3524602314166998,0.335561503606427,0.06557367980279608,0.24266476214168015,-1.412507286882541,0.07380335519600308
2013-10-08,-1.1945754840077514,0.5187445138344134,0.0782084389751511,0.37513544524336334,-1.250043319634529,0.23595611876487227
2013-10-09,-1.2304777288393451,-0.15937245669491013,0.058757844375023224,-0.11525183574444116,-1.2869868573997203,-0.3643099247804691
2013-10-10,-1.121595573638538,0.6792718430564089,0.09802706567885486,0.4912224389665272,-1.1749467320124447,0.378054177036105
2013-10-11,-1.2436621061939581,0.6254776531407773,0.15216501473557412,0.452320615723442,-1.300553628641892,0.3304358059442013
2013-10-14,-1.353060481989774,0.8091193026117637,0.18401351870147467,0.5851229685238697,-1.4131249468594858,0.4929945548751463
2013-10-15,-1.4215322641481662,0.25197058183217835,0.19887692346963448,0.1822151249468749,-1.483582654501,-0.00019094677607326655
2013-10-17,-1.3332033158955554,0.46639422864665614,0.20423422710180011,0.3372777965959309,-1.3926918522451377,0.1896158855399223
2013-10-18,-1.3594221954933625,-0.030435271655498586,0.23784664357907429,-0.02200958059140596,-1.4196711727061861,-0.25017531778329133
2013-10-21,-1.053986856002136,0.6992880458924161,0.2727992652304015,0.5056973624842029,-1.1053771208370846,0.39577242831920206
2013-10-22,-1.136204680113145,0.8521040886125755,0.28510234222896913,0.6162078598433227,-1.1899795545919787,0.5310444910170036
2013-10-23,-1.0722346857864518,0.24169144975800133,0.2944093055327548,0.17478166457375446,-1.124154202658342,-0.009289987515947274
2013-10-24,-0.862134871691228,0.14266135678505287,0.31369428118390275,0.10316703149494158,-0.9079607458732617,-0.0969509732812763
2013-10-25,-1.5515551731395938,0.7364647503553157,0.3274882128875465,0.5325820797379501,-1.6173766908125613,0.42868107722468485
2013-10-28,-1.7114047967458343,0.47688026411722917,0.34161881288903545,0.34486088129405024,-1.7818625226637224,0.19889807622080688
2013-10-29,-1.2554444704507275,-0.21775655607670585,0.31444582907848717,-0.15747289935594752,-1.3126777234143767,-0.4159912627574738
2013-10-30,-1.136220087168623,0.7861335875493534,0.35429366663341766,0.5685006116136494,-1.189995408506924,0.47264770493891267
2013-10-31,-0.4738398385376736,0.5527509891881925,0.35031925165640854,0.3997275786207382,-0.5084037741955189,0.2660584953498458
2013-11-01,-1.1226744936092674,0.8012284754636056,0.36265772466036383,0.5794166354897481,-1.1760569445039262,0.4860096307420315
2013-11-05,-1.2401539453715025,0.6481707698765211,0.3754275563207004,0.4687313771360249,-1.2969437186644328,0.3505236491787461
2013-11-06,-1.0694080224271982,0.6315890223575622,0.4213659634427539,0.45674011540207765,-1.1212455559970567,0.3358455620479908
2013-11-07,-1.2377825787094219,0.16993125949304932,0.4259042628170293,0.12288754288597463,-1.2945035739256672,-0.07281178001847095
2013-11-08,-1.291678634070642,0.5877897596885059,0.4331794868671707,0.4250662268798903,-1.3499628067945797,0.2970746548812888
2013-11-11,-1.6086311364594867,0.48376026603963906,0.4422934254768171,0.34983622564104083,-1.6761080602933238,0.20498822248322188
2013-11-12,-1.2453546728694498,0.2478949643015047,0.4274777955641386,0.17926780009574605,-1.3022952857775234,-0.003798664790019811
2013-11-13,-1.3640525020724248,0.5195158186495739,0.4352283266673043,0.37569322227528756,-1.424435774662704,0.2366388742626478
2013-11-14,-1.4931266561771244,0.5681544474397786,0.445682972755217,0.41086674831871556,-1.5572535388176871,0.2796935662055096
2013-11-18,-1.3556972477043725,0.39157832446375973,0.4481782388208757,0.2831739038733284,-1.4158381881682718,0.12338918904082237
2013-11-19,-1.1757489767897222,0.9140665311097421,0.4764356925642982,0.6610166391838993,-1.2306707766735425,0.5858933619679063
2013-11-20,-1.2713143488684837,0.25626151863314317,0.4662297010692011,0.18531816014900696,-1.3290078848125142,0.0036073708719981477
2013-11-21,-1.6820782085237649,0.09214949765761024,0.4581159675375739,0.06663885961360613,-1.751685358963005,-0.1416638401586265
2013-11-22,-1.2986434161020408,0.434472317439747,0.45530689432441834,0.31419313728048703,-1.357129592303682,0.16135875561199867
2013-11-25,-1.5641330537548634,0.3391724464255674,0.4719250577617676,0.24527605268274782,-1.6303193747504574,0.07699974527870804
2013-11-26,-1.0716964674183513,0.5609559731255749,0.4679811954307398,0.40566109737703887,-1.123600374041187,0.2733215096371908
2013-11-27,-1.4475424154453504,0.7690029371452197,0.47276537156422116,0.5561124050971861,-1.5103471927975098,0.4574837314825029
2013-11-28,-0.48083906971941404,0.794008480327234,0.4722616774880702,0.5741954215435661,-0.5156060080029823,0.4796185240402727
2013-11-29,-1.1932528708107664,0.4684475759359441,0.4794775772915291,0.3387626958653469,-1.2486823459455367,0.19143349917729127
2013-12-02,-1.2033342703051404,0.6622177811887865,0.48600502904293336,0.4788896182401367,-1.2590561419210642,0.362957999402231
2013-12-03,-1.0809756345063102,0.8911308075593389,0.5167238983500947,0.6444304341511736,-1.1331486700140856,0.5655907642896568
2013-12-04,-1.1342826458429955,0.6534278869290842,0.5151952263846503,0.47253311555178623,-1.1880017744844027,0.35517722517041245
2013-12-05,-0.9355488323303229,0.566584684473004,0.5056779129133312,0.40973155803956496,-0.9835039727685327,0.27830401920061126
2013-12-06,-0.9420423513737785,0.7954303907184596,0.5241358776120132,0.575223690707833,-0.990185826985063,0.48087719262093176
2013-12-09,-0.8854786639386081,0.5754339553364801,0.5385616308970607,0.4161309995313142,-0.9319815912136887,0.2861373533307592
2013-12-10,-1.0726042253840946,0.7290626568317299,0.5383148944462746,0.527229179464985,-1.1245344602200986,0.4221287778626926
2013-12-11,-1.3672434256332233,0.7767181608196945,0.5483094910030234,0.5616917486682297,-1.4277192463683637,0.46431321222316213
2013-12-12,-1.4776153842432977,0.6753063342808164,0.5780782540149407,0.48835474039724036,-1.541292384768367,0.37454392678899623
2013-12-13,-1.7197154894980413,0.7711509031588347,0.5775788312019235,0.557665728872948,-1.7904142550967839,0.4593851011822702
2013-12-16,-1.5091942272987955,0.8535356780704052,0.5876049874979972,0.6172431285244294,-1.5737871267120571,0.5323117274631907
2013-12-17,-1.0929496847527485,0.6539657552090395,0.5826962301561783,0.47292208054573265,-1.1454700103524567,0.35565334371395124
2013-12-18,-0.9907085224030362,0.21912732775501031,0.5683947820854613,0.15846418703254703,-1.0402634902548675,-0.029263645202522025
2013-12-19,-1.0579746710538545,0.17952411242832572,0.5533259517544867,0.12982471342186913,-1.1094805967243113,-0.06432023043628621
2013-12-20,-1.1201002360837975,0.12108963680805451,0.5516978976649869,0.0875672197139546,-1.1734080243443201,-0.11604616122938692
2013-12-23,-1.0476139072508024,0.7259893388124268,0.5563045503024511,0.5250066778427053,-1.0988193338804502,0.4194082907960385
2013-12-24,-1.2360449525463033,0.8159416946781048,0.5673772645903999,0.5900566517092858,-1.2927155504168288,0.499033705156227
2013-12-26,-0.36235920582174114,0.817461402943607,0.5863628125451366,0.5911556444149728,-0.3936898061930442,0.5003789439682923
2013-12-27,-1.1774708329406878,0.8508399512913793,0.5974069502998635,0.6152936859018379,-1.2324425727837247,0.5299254824369646
2013-12-30,-1.357347579011826,0.509563816182896,0.5954539292579674,0.3684963290516766,-1.4175363849598086,0.2278294071564594
2013-12-31,-1.2320701581943296,0.9070068160350997,0.6126348789770121,0.6559113334174028,-1.288625472876001,0.579644134444364
2014-01-02,-1.2839763714915853,-0.2101622377011426,0.5751605866833158,-0.15198098969876672,-1.3420371511760651,-0.40926880683491423
2014-01-03,-1.2314501518175593,0.7241271112264664,0.5907561064364267,0.5236599887578609,-1.2879874841067105,0.4177598554467022
2014-01-06,-1.0749959987277034,0.6709001544792532,0.6100477949971481,0.48516836603066854,-1.1269956035068167,0.370643596563417
2014-01-07,-1.2136752587978445,0.4600766811447419,0.6109012737873146,0.33270919696398715,-1.2696970559001655,0.18402362136030187
2014-01-08,-1.0209712023859105,0.9071534966765871,0.6298339754623485,0.656017407036083,-1.0714038957104999,0.5797739754779272
2014-01-09,-1.2266997182175512,0.8294205097128294,0.6387827933485904,0.5998039958152099,-1.283099271017915,0.5109650906312994
2014-01-10,-1.1385533478209933,0.24698098287739795,0.621382061539663,0.1786068450025691,-1.1923963420260175,-0.004607716970050437
2014-01-13,-1.3374598404913005,0.26053238734066025,0.6035995251067772,0.18840668290239032,-1.3970718312099348,0.007387924335454111
2014-01-14,-1.5661256007583837,0.7469926110524,0.612884359610659,0.540195410779985,-1.6323697127117398,0.43800029140495
2014-01-15,-1.4277271192753809,0.6427491552101561,0.6122354054113714,0.4648106805742989,-1.489957182484296,0.3457244606510412
2014-01-16,-1.2008244174566762,0.7761143076467925,0.6084015220809532,0.5612550660184147,-1.2564734944034162,0.4637786841539159
2014-01-17,-1.1325158200662462,0.44743392520368663,0.6015350566901067,0.32356645761433334,-1.1861837044691703,0.17283231157443593
2014-01-20,-1.3290458230650735,0.5879567298478013,0.6022474582025998,0.42518697307262915,-1.3884137773194087,0.2972224561032995
2014-01-21,-1.0472933782432123,0.9077367018227056,0.6059910019060747,0.6564391578523765,-1.098489508390365,0.5802902260082194
2014-01-22,-1.008509050210788,0.6186581730300853,0.6074318091625283,0.447389038348786,-1.0585802967495779,0.32439923331295456
2014-01-23,-1.110278790994602,0.8325448226800459,0.6108812146908054,0.602063374960009,-1.1633017223773146,0.5137307181928166
2014-01-24,-1.49088526915298,0.5720410356518532,0.6040586438518774,0.4136773746685483,-1.554947143589163,0.28313395633043287
2014-01-27,-1.645018508031266,0.6729927113589225,0.6039815230878142,0.48668162011975635,-1.7135507952015077,0.3724959183510168
2014-01-28,-0.8735393616894752,0.467314924294411,0.5938536571256667,0.337943607149186,-0.9196960066882687,0.19043088112004444
2014-01-29,-1.1791674565005172,0.6175079517700259,0.5859860662489874,0.4465572439817838,-1.2341884044677847,0.32338106270967554
2014-01-30,-0.43115475239448786,0.6879751297771088,0.5871197120679231,0.4975163105198225,-0.4644806685697246,0.38575828667016604
2014-01-31,-1.4791944971187097,0.913689096670426,0.6102717710317703,0.6607436935764432,-1.542917297539753,0.5855592587269726
2014-02-03,-1.4283726766962042,0.39671463441035687,0.6175114550978381,0.28688827938446815,-1.4906214633688941,0.12793582713433566
2014-02-04,-1.0257274248146926,0.3787508178930732,0.6261001611340052,0.27389756020043377,-1.0762980655247154,0.11203433884185522
2014-02-05,-0.9887978417510939,0.5616158676973833,0.6206210454301704,0.4061383069424552,-1.0382973930608521,0.2739056452966586
2014-02-06,-0.8341947533277804,0.40090017044462056,0.6067863279557211,0.28991509293511103,-0.8792102645937289,0.13164084450536942
2014-02-07,-1.1597565415577975,0.7430270553731559,0.604305183036706,0.5373276782918388,-1.2142145038772503,0.4344899996389432
2014-02-10,-1.3162779763124017,0.8434480926088962,0.6040587877472899,0.609948187059773,-1.375275617549733,0.5233822429095466
2014-02-11,-1.413522401363217,0.9336775270905717,0.6181959114442124,0.6751985331851584,-1.4753404771753815,0.6032529259944597
2014-02-12,-1.1065174143048415,0.9233941830216987,0.6187421570104324,0.6677620268646333,-1.1594312523707988,0.5941501568161283
2014-02-13,-2.161617012520659,0.17376021624947052,0.6315395721421194,0.1256564924542705,-2.2451324957209833,-0.06942240499473563
2014-02-14,-1.537483595791598,0.48934326145843654,0.6237134438165185,0.35387362635828634,-1.6028969876182357,0.209930264515524
2014-02-18,-1.2945050297090144,0.47127593927085143,0.6170593033095718,0.3408080559812693,-1.352871177970125,0.193937153476679
2014-02-19,-1.5450596446175051,0.8497832683756699,0.630049522883936,0.6145295347532587,-1.6106927688353627,0.5289901115486653
2014-02-20,-1.4460984088901832,0.7842537196771571,0.6259528636506216,0.5671411657738806,-1.5088613049107151,0.47098365448881047
2014-02-21,-1.6453108988800917,0.6863769154833176,0.6211847438429713,0.49636054537010743,-1.7138516664260357,0.38434355468060555
2014-02-24,-1.4994073297833335,0.6222251739011094,0.6336928835437617,0.4499685518168788,-1.5637163743214335,0.327556726183987
2014-02-25,-1.3970064081588272,0.8261705565810793,0.652547489185109,0.5974537586896405,-1.4583454613612428,0.5080882469702704
2014-02-26,-0.5097760387107798,0.809578376532119,0.6546336813677663,0.5854549525640269,-0.5453822521280277,0.493400925011631
2014-02-28,-0.9390479866825191,0.709326835997094,0.6568529373939975,0.5129570170833166,-0.9871046150560265,0.40465871944595766
2014-03-03,-1.3851541251677513,0.5775363980139923,0.650233673739571,0.4176514026370691,-1.4461494199622038,0.28799842598143477
2014-03-04,-1.0661208557549515,0.3918612370413846,0.6483812508008274,0.28337849502165263,-1.1178630497870339,0.1236396219617203
2014-03-05,-1.0907901907942055,0.7657404835371966,0.6543073759238073,0.5537531281232763,-1.1432478833800248,0.45459582245700003
2014-03-06,-0.8352728069422931,0.6051770793666726,0.6442220551752729,0.43764004642902554,-0.8803195856015786,0.31246583080618023
2014-03-07,-0.514835090521789,0.12554619227464536,0.6277849891500915,0.09079002376223985,-0.5505880344548088,-0.1121012386953251
