SYMBOL,YEAR_MONTH,AMIHUD,HL_RANGE,ROLL_SPREAD,ZERO_RATIO,NEAR_ZERO,FHT,PASTOR,AMIVEST,LOT,VOLUME_ILLIQ,TURNOVER_ILLIQ,CV_TURNOVER,DOLLAR_ILLIQ
TIINDIA,2023-06,2.422163849684717e-05,0.03252772171747638,0.0,0.0,0.0,0.0,0.00445083005008136,2.2618780924427156e-11,0.047619047619047616,5.4793305301774125e-06,1.7864521310725329e-09,0.7616908018318517,7.2119916230771e-08
TIINDIA,2023-07,3.211512122121098e-05,0.024225828280695003,35.662405877652866,0.0,0.0,0.0,0.0005472167568849614,2.5293162136847436e-11,0.0,7.452318469506709e-06,2.333948346149358e-09,0.5566252590181017,1.025912673111507e-07
TIINDIA,2023-08,2.74639520835611e-05,0.030319549339250153,31.24291077483386,0.0,0.0,0.0,0.011395206536986727,2.0059233120939822e-11,0.0,4.733293946590372e-06,1.6309571906002583e-09,1.6012418436717835,7.958833099180091e-08
TIINDIA,2023-09,2.868750854172159e-05,0.04625507090320937,127.22048137919045,0.0,0.0,0.0,-0.025930352979423983,2.6847143432636762e-11,0.0,3.0234996978767926e-06,9.423882667816005e-10,0.8375408371552604,9.370163520163288e-08
TIINDIA,2023-10,2.396055563071162e-05,0.026698864236920306,65.26623154734897,0.0,0.05,0.0,0.011499964073195285,2.3217607878941876e-11,0.05,5.416702890867249e-06,1.8144688876190715e-09,0.33973101661890825,7.162753028273666e-08
TIINDIA,2023-11,3.797076497317322e-05,0.03792863488461172,202.5135148186672,0.0,0.0,0.0,0.008133711140921152,2.5596175001260555e-11,0.0,3.736512524256194e-06,1.0867015081679644e-09,1.981148796378558,1.224144494186659e-07
TIINDIA,2023-12,1.7067600148314238e-05,0.038589911343843236,0.0,0.0,0.0,0.0,-0.021815793558636432,1.4078912637701151e-11,0.05,2.7350756494573884e-06,7.742153871780187e-10,0.9998041035549169,6.10664532452361e-08
TIINDIA,2024-01,2.2983775095009948e-05,0.0440903163978325,90.0793632538026,0.0,0.0,0.0,0.012205428374772537,1.834223842158436e-11,0.0,4.02677660010832e-06,1.0499715407853115e-09,0.4097351773208461,8.861501679977537e-08
TIINDIA,2024-02,2.281774688682665e-05,0.035095239422343105,0.0,0.0,0.0,0.0,0.0030341729051408806,1.9847684317994224e-11,0.0,5.289541971004243e-06,1.468370427428165e-09,0.5933335028890773,8.24378094821365e-08
TIINDIA,2024-03,3.061707232400032e-05,0.0364705608607273,0.0,0.0,0.0,0.0,0.007263894377313633,2.705672311807913e-11,0.05263157894736842,5.2406564611777685e-06,1.4478253299056696e-09,0.45392856181071395,1.1135000166188703e-07
TIINDIA,2024-04,2.4833929792875374e-05,0.023839992686929577,0.0,0.0,0.0,0.0,-0.0037617303399884307,1.9459681769992253e-11,0.0,5.653405003433031e-06,1.5743338121357593e-09,0.539783654554421,8.942371287602075e-08
TIINDIA,2024-05,1.905369586437857e-05,0.036070748519931486,4.388297835694688,0.0,0.0,0.0,-0.0030243997690505516,1.542168573768308e-11,0.09090909090909091,3.5420907448227915e-06,9.336497728601395e-10,0.6275472298596402,7.320232544676207e-08
TIINDIA,2024-06,2.1386880393757345e-05,0.04446422546197781,107.25317851453403,0.0,0.0,0.0,0.02840955090443835,1.7141344925514657e-11,0.0,2.780589669406913e-06,6.809900385418153e-10,0.7786370983459272,8.656398531608763e-08
TIINDIA,2024-07,2.100370995478613e-05,0.042015028915879944,58.66860901888259,0.0,0.0,0.0,-0.014762882215683651,1.4097946140860265e-11,0.045454545454545456,2.9343540973119847e-06,6.987302075900351e-10,1.0796457779684878,8.743417479224869e-08
TIINDIA,2024-08,2.574586118188882e-05,0.029831826017749134,102.76888935803002,0.0,0.0,0.0,-0.0017826292381478755,2.249938041690948e-11,0.047619047619047616,6.145806628340246e-06,1.5233202300134647e-09,0.5553199925061797,1.0399111393997175e-07
TIINDIA,2024-09,1.3925730373315924e-05,0.03396087958953091,49.08529275569489,0.0,0.0,0.0,0.010949126776647266,1.2409481427291603e-11,0.0,2.8169890733018118e-06,6.819089390382595e-10,0.8887872187959833,5.687948930519299e-08
TIINDIA,2024-10,2.104777358226016e-05,0.04002188615829299,0.0,0.0,0.0,0.0,-0.004310998515996353,1.8549443936036578e-11,0.0,4.441454762168172e-06,1.015006500142804e-09,0.658778092808615,9.151400512826206e-08
TIINDIA,2024-11,2.6694352706481475e-05,0.0440353866464227,0.0,0.0,0.0,0.0,0.005947668919725267,1.9001222568644756e-11,0.0,2.8704691721430934e-06,7.90460440433326e-10,0.9019614394261466,1.0233838378036259e-07
TIINDIA,2024-12,1.8014576230111892e-05,0.028955631722980848,66.87798197975332,0.0,0.0,0.0,-0.0022315852494544253,1.7838076790685637e-11,0.0,4.7363499522079735e-06,1.292375707301331e-09,0.49299661078771784,6.577017264585137e-08
TIMKEN,2007-02,0.03332184672396811,0.06759725871452175,0.0,0.0,0.0,0.0,-0.008619633191646143,2.2150964110984536e-08,0.06666666666666667,7.823693076520608e-05,5.042982800142833e-07,2.1889374124823147,4.606061581258043e-06
TIMKEN,2007-03,0.06516043816787903,0.05945275502935984,1.1208940667038678,0.0,0.0,0.0,-0.0013631480991357844,3.443883033565581e-08,0.0,0.000289591262617905,2.418638303180112e-06,1.0988452073460961,7.728532803826728e-06
TIMKEN,2007-04,0.07439594080754597,0.04585180484669853,2.4078575077810935,0.0,0.0,0.0,-0.005738154696085828,4.898802781934223e-08,0.1,0.00045271402055321647,3.6171835984214297e-06,0.7358293572448904,8.838931355753788e-06
TIMKEN,2007-05,0.02741955429615092,0.05906605469395474,0.0,0.0,0.0,0.0,0.029557740108584342,2.8084596321613926e-09,0.047619047619047616,1.629945039805586e-05,1.0615592512781553e-07,2.333863388403552,3.305119397891926e-06
TIMKEN,2007-06,0.018759028068630633,0.05129063722239603,2.347108461203915,0.0,0.0,0.0,-0.002784919472612788,1.416394438431868e-08,0.0,9.82860780110642e-05,6.856943350877623e-07,0.7905585499459477,2.63518642599221e-06
TIMKEN,2007-07,0.015496007894242391,0.02962846411204811,2.095728738975646,0.0,0.0,0.0,0.009293124662041996,1.3024410935096813e-08,0.0,0.000156638258182569,1.110114424590177e-06,1.0015305450353222,2.130232871258712e-06
TIMKEN,2007-08,0.025253641148782934,0.03950612177182941,1.3232933397995716,0.045454545454545456,0.045454545454545456,0.0018563374510984735,-0.011602926529819476,2.3115003827417335e-08,0.045454545454545456,0.0002353746736851115,1.8852871254372062e-06,0.5238612435368912,3.1467249467479986e-06
TIMKEN,2007-09,0.024099618429424468,0.041290408229071006,2.2581153573987858,0.0,0.0,0.0,0.004582309703365496,1.555718647361601e-08,0.0,0.0001577150247218301,1.2199401411970918e-06,0.728069584404335,3.116829185299589e-06
TIMKEN,2007-10,0.022875990742285055,0.047975880448514086,1.4191546779685429,0.045454545454545456,0.045454545454545456,0.002259317516427954,0.00010562681714893282,1.661227943924317e-08,0.045454545454545456,0.0001375395426185028,1.0879435590706188e-06,0.9670197388404193,2.811442096953596e-06
TIMKEN,2007-11,0.025267061547581373,0.05293369038301532,0.0,0.0,0.0,0.0,-0.0005529015304566921,1.3098894329737864e-08,0.0,8.600569983228888e-05,6.693994554593652e-07,1.539449760860382,3.0779879812974605e-06
TIMKEN,2007-12,0.014928278844702176,0.07545824278828804,0.0,0.0,0.0,0.0,0.005859693465151837,1.0214073354376516e-08,0.0,9.354536950420954e-05,6.667724097521964e-07,0.8342623848162088,2.0261847751968366e-06
TIMKEN,2008-01,0.08083158456307812,0.09800840186204499,11.363799037796678,0.0,0.0,0.0,-0.011664050646420144,1.877022885626056e-08,0.043478260869565216,5.2581043390791465e-05,3.4650105095538914e-07,1.7353543633629909,9.390603851102569e-06
TIMKEN,2008-02,0.0477615773310478,0.05333726947047643,2.270166287028381,0.047619047619047616,0.047619047619047616,0.004176700111036949,0.005749236330089936,3.585287883572621e-08,0.047619047619047616,0.00015702578213794342,1.3718850272546517e-06,0.7400984366164615,5.42530167941298e-06
TIMKEN,2008-03,0.06136938569572541,0.0797187133118726,2.853638028902751,0.0,0.0,0.0,-0.0110182555487755,2.5141525848768066e-08,0.0,5.4012530907170464e-05,5.644524666589257e-07,1.7679459359854364,6.247978973834384e-06
TIMKEN,2008-04,0.0760571864713886,0.05849665244422987,2.8255834032332996,0.0,0.0,0.0,0.0029472953675425033,4.062474354399572e-08,0.0,0.00018365472910927456,1.7089452457446603e-06,1.6772169835522777,7.569430381540507e-06
TIMKEN,2008-05,0.06654520257570956,0.03741985097173571,0.0,0.0,0.0,0.0,-0.0032584151485066377,5.02123417239215e-08,0.0,0.00044300713241483185,4.3972788890697025e-06,0.5314929442232619,6.52306754162344e-06
TIMKEN,2008-06,0.18267760772579486,0.059891267247416634,1.677186100697919,0.0,0.0,0.0,0.0035594272081623064,9.690997410637127e-08,0.0,0.0003970730047081513,4.513308311623693e-06,0.8765706951590753,1.550458823228764e-05
TIMKEN,2008-07,0.4337291517600971,0.0832066923151497,6.682434329750546,0.0,0.0,0.0,-0.012349706204217483,4.541045660951976e-08,0.0,9.7152174096696e-05,1.0651455499049043e-06,1.8511059671873444,3.375615538978782e-05
TIMKEN,2008-12,2.6794897841033865,0.05621223508362811,0.03504383220250998,0.0,0.0,0.0,-0.0006424565801963493,9.690997410637127e-08,0.0,0.0007086454747924681,1.2183717934630059e-05,0.6016478800654202,0.00014746336539574404
