DATE,Market_Liquidity_Index
2016-08-31,0.2275023167752907
2016-09-01,-0.08084958865278652
2016-09-02,-0.0514578223929815
2016-09-06,0.04848166375540125
2016-09-07,0.172337087043324
2016-09-08,0.26585183547714986
2016-09-09,-0.02382005450413065
2016-09-12,-0.2125883051254735
2016-09-14,0.01284871937671441
2016-09-15,0.03759229674999879
2016-09-16,0.4341421980746665
2016-09-19,-0.040396020606578494
2016-09-20,-0.061299758940376536
2016-09-21,0.022602536643372122
2016-09-22,0.15161412776929398
2016-09-23,0.22096077356590785
2016-09-26,0.016245580305215973
2016-09-27,-0.010312124012575455
2016-09-28,0.19976559004854935
2016-09-29,0.491237610256399
2016-09-30,-0.11133322744087211
2016-10-03,0.03055548627588158
2016-10-04,0.10617247854339205
2016-10-05,0.17121522735821063
2016-10-06,0.08361991155053929
2016-10-07,-0.07106343857248329
2016-10-10,-0.14594798900825065
2016-10-13,0.0270583318651818
2016-10-14,-0.013656614996162556
2016-10-17,-0.056830271592674925
2016-10-18,0.07106854067441039
2016-10-19,0.18233817450807607
2016-10-20,0.08667436951127133
2016-10-21,0.05619157139557847
2016-10-24,0.05487549056530657
2016-10-25,0.04881327511630941
2016-10-26,0.0975679100771042
2016-10-27,0.2784322367350437
2016-10-28,0.1626515269557599
2016-10-30,-1.003139582223455
2016-11-01,-0.0017156415348447318
2016-11-02,-0.08938149517318339
2016-11-03,-0.003577659586224427
2016-11-04,0.001626640326917393
2016-11-07,-0.27949987230726664
2016-11-08,-0.15875063396876674
2016-11-09,0.2885457920675511
2016-11-10,0.010933604209429276
2016-11-11,-0.11108806983484126
2016-11-15,-0.0619958894730578
2016-11-16,-0.12929151446406348
2016-11-17,-0.3437120238951748
2016-11-18,-0.3033725466439221
2016-11-21,-0.3016963351405466
2016-11-22,-0.3179870576995006
2016-11-23,-0.25954234636123164
2016-11-24,-0.14273679632297806
2016-11-25,-0.34159878017596995
2016-11-28,-0.35902422540897017
2016-11-29,-0.3580457407443121
2016-11-30,-0.11285267947189391
2016-12-01,-0.2102067630943765
2016-12-02,-0.469239284334187
2016-12-05,-0.5856834909911554
2016-12-06,-0.5046644259122502
2016-12-07,-0.477246369946044
2016-12-08,-0.5104584817934209
2016-12-09,-0.4458329800157325
2016-12-12,-0.6098892912339412
2016-12-13,-0.5949889084730752
2016-12-14,-0.5395222560768266
2016-12-15,-0.448231767326971
2016-12-16,-0.4222898080018676
2016-12-19,-0.5813441082854406
2016-12-20,-0.5548018979636927
2016-12-21,-0.4614169927052801
2016-12-22,-0.6213981479563588
2016-12-23,-0.5060465683713692
2016-12-26,-0.8175181291044833
2016-12-27,-0.35412735787979566
2016-12-28,-0.42632750877352865
2016-12-29,-0.16270496274858906
2016-12-30,-0.33120359696823504
2017-01-02,-0.4392002329953297
2017-01-03,-0.22417331355331943
2017-01-04,-0.3033426416825991
2017-01-05,-0.14604341132539464
2017-01-06,-0.23410472705754543
2017-01-09,-0.37857741434264575
2017-01-10,-0.11098798334345256
2017-01-11,0.06621602676261382
2017-01-12,-0.043043979926189295
2017-01-13,-0.07601121435492181
2017-01-16,-0.2652763375650623
2017-01-17,-0.14270909340674515
2017-01-18,-0.0017970444489663097
2017-01-19,0.10677120220531323
2017-01-20,-0.024733171904456144
2017-01-23,-0.14340065922382567
2017-01-24,0.029271050469835264
2017-01-25,0.4520909564305435
2017-01-27,0.25969637493708453
2017-01-30,0.13074518250813247
2017-01-31,0.0526091117514554
2017-02-01,0.1524952336099902
2017-02-02,0.292364028066425
2017-02-03,0.24173061597515463
2017-02-06,0.32029247231670777
2017-02-07,0.24799331886526527
2017-02-08,0.272879883799194
2017-02-09,0.2888304507780055
2017-02-10,0.21766692752058495
2017-02-13,0.08424305608733108
2017-02-14,0.0016104483653824435
2017-02-15,-0.0626564447704406
2017-02-16,0.03306326640462298
2017-02-17,0.04926776520981984
2017-02-20,0.14130990044678376
2017-02-21,0.2739042185289262
2017-02-22,0.06652421126792708
2017-02-23,0.3934734391110603
2017-02-27,0.1258853359894259
2017-02-28,0.19373335591730634
2017-03-01,0.3167799692428056
2017-03-02,0.29333255615282255
2017-03-03,0.0403850149243693
2017-03-06,0.014169350681151978
2017-03-07,0.09884323537756133
2017-03-08,0.15490355442058334
2017-03-09,0.05541259861391656
2017-03-10,0.06370774494690289
2017-03-14,0.28054933048540914
2017-03-15,0.39962373587544964
2017-03-16,0.41810724305337915
2017-03-17,0.4380258041408135
2017-03-20,0.34792520462977905
2017-03-21,0.27996772744076837
2017-03-22,0.27752302454460337
2017-03-23,0.3104053479030779
2017-03-24,0.2933571126802139
2017-03-27,0.30200229741411183
2017-03-28,0.3379111303755686
2017-03-29,0.5195529743568024
