DATE,Market_Liquidity_Index,NIFTY50_Liquidity_Index_Raw,NIFTY50_Liquidity_Index_30D,NIFTY50_Index
2022-10-06,0.800678257844917,0.9424786140291036,0.6100210713198135,0.68156312997464
2022-10-07,0.7751812629610005,0.8983292398218613,0.6097378349699486,0.6496360546827432
2022-10-10,0.6225013486819694,0.5674920200457351,0.6120752333550357,0.4103877071167777
2022-10-11,0.7335387683658322,0.22778168970833373,0.5943215279424326,0.16472267813572913
2022-10-12,0.7044343539602581,0.6798213903167023,0.5977192391338823,0.49161984973555606
2022-10-13,0.6008610480350843,0.7772900066078096,0.6220026955387923,0.5621052848476283
2022-10-14,0.6159150283166266,0.6889487052215271,0.6267615409169445,0.49822036164340977
2022-10-17,0.5911387230706762,0.5161443526401541,0.6188224631488646,0.37325511185901
2022-10-18,0.787736675012987,1.0065513958516672,0.6245167395208049,0.7278980229633313
2022-10-19,0.7052267504786492,0.8530552154613381,0.6288232227096604,0.6168956770334384
2022-10-20,0.8407997616655835,0.7681191044954134,0.6283051725776808,0.5554732524010835
2022-10-21,0.7545615722262484,0.823542183350927,0.6242415295731477,0.5955530234805667
2022-10-24,-0.3538668199451407,0.9707297865249458,0.6278305551630287,0.7019932567330655
2022-10-25,0.7644126439860525,0.7310247496437365,0.6182612704902134,0.5286480871180034
2022-10-27,0.8864988972941882,0.9074296869754386,0.612043509347181,0.6562171368991822
2022-10-28,0.7385458773548492,0.940240132266285,0.634079005894059,0.6799443488013086
2022-10-31,0.8078063900505827,0.9143619285616458,0.6462896088632796,0.6612302588978208
2022-11-01,0.9019603731454908,0.9755912535226203,0.6699764529823262,0.705508876731103
2022-11-02,0.92644218033168,0.9017702452904424,0.6829803978532692,0.6521244532761076
2022-11-03,0.8700084417676951,0.8280943022260538,0.6858070971205653,0.5988449351933265
2022-11-04,0.9525600059772472,0.9435584181728791,0.6929745580942985,0.6823440014777556
2022-11-07,0.9763625517498644,0.7155001543593376,0.6939149670551796,0.5174213159254023
2022-11-09,1.0657290102455166,0.7502613150976677,0.714298575313784,0.542559207822052
2022-11-10,0.889274677356682,0.8862345710412083,0.7233717106999976,0.6408896702158232
2022-11-11,1.045898402273293,1.0180851225602803,0.7399611485195136,0.7362387563855877
2022-11-14,0.9928203483420104,1.0557172502691448,0.756300462968207,0.7634528176566555
2022-11-15,0.918008858849172,0.8538621934393102,0.7682759934637228,0.6174792514809646
2022-11-16,0.9148978625427258,1.0028603416302637,0.8084774454357768,0.7252287990354893
2022-11-17,0.8308262868645836,0.9729440827150322,0.8277033505203834,0.7035945478600379
2022-11-18,0.8786500604509401,0.7061348862347252,0.8274651446027197,0.5106487256925322
2022-11-21,0.8178192902565887,0.8928499730046355,0.8258108565685709,0.6456736663735277
2022-11-22,0.8402386266803398,0.8955136314070409,0.8257170029547434,0.6475999184188294
2022-11-23,0.8816385518507567,1.0472837054448105,0.8417100591347126,0.7573540127376962
2022-11-24,0.9917654320325212,0.5485254182141146,0.8524015167515719,0.39667181339046886
2022-11-25,0.9924627953074264,1.0282480189918508,0.8640157377074102,0.7435881597549626
2022-11-28,1.0614281753293129,0.5092972096080877,0.8550826444740862,0.36830352975746095
2022-11-29,0.9520621976057208,0.9082126320107202,0.862391442033726,0.6567833316763383
2022-11-30,1.379775394011635,0.7150601549457576,0.8690219687772461,0.5171031258115444
2022-12-01,1.0892136209556076,1.0034595593917828,0.8689189075619166,0.7256621295397555
2022-12-02,1.077368232771837,0.8732769697018796,0.8695929660366013,0.6315192471692546
2022-12-05,1.0210665304645408,0.9009471379787226,0.8740205671527117,0.6515292147345321
2022-12-06,1.0015087457233554,1.0755869227852466,0.8824220584671889,0.7778217762622534
2022-12-07,0.9473787653887434,0.8632230320755607,0.8788384999855428,0.6242486384836424
2022-12-08,0.915362461626711,1.0333847293037386,0.8889171659742096,0.7473028247943915
2022-12-09,0.9911250741057815,0.4888098444072402,0.8749631712219361,0.3534878803163247
2022-12-12,0.8902436256446842,0.740398101892302,0.8683017702094701,0.5354265234684858
2022-12-13,0.9479918953828732,0.9011326584379936,0.8678607945386818,0.6516633757680165
2022-12-14,1.011248450772814,1.1034108934691103,0.8721214492035647,0.7979429676244068
2022-12-15,0.9259836962450064,0.4371763996402024,0.8566349876818901,0.3161486222122588
2022-12-16,1.0146295610198917,0.729644711319985,0.8533533346516877,0.5276500981711773
2022-12-19,0.8322939204030342,0.6815742143458386,0.8446205278574531,0.49288742250995116
2022-12-20,0.8448717153034108,0.6387902138661934,0.842063529841015,0.4619477313109283
2022-12-21,1.0337758281614506,0.27887583737989197,0.8263506805837557,0.2016719379831662
2022-12-22,0.9099980383432744,0.48089072973084185,0.8128392192067435,0.3477610908644131
