family,model,slug,mae,rmse,mape,smape,r2,directional_accuracy
Advanced DL,WaveNet Dilated CNN,wavenet_cnn,0.1373892426490783,0.1903508305549621,24.735774099826813,14.30847942829132,0.6307621002197266,57.5712143928036
Ensemble/Hybrid,Simple Average (all models),ensemble_avg_all,0.1423942315955252,0.1973902961687122,22.101098996624906,13.965657708384033,0.6029471072283769,56.22188905547226
Classical ML,Random Forest (n=200),random_forest,0.1439186781975117,0.2094541674416954,22.61752390909785,13.904044797067847,0.5529307714419085,55.62218890554723
Classical ML,Gradient Boosting (n=200),gradient_boosting,0.1455277108400504,0.2041020392671803,20.725785924225598,14.220121862949128,0.5754865496657202,59.820089955022496
Classical ML,LightGBM (n=300),lightgbm,0.147165015179284,0.2107270969893059,22.259033395405293,14.241902005863157,0.5474802529383072,59.52023988005997
Classical ML,Extra Trees (n=200),extra_trees,0.1486354266715498,0.2141164086329529,22.693862792188224,14.263837352236278,0.5328066333952823,58.17091454272864
Advanced DL,CNN-GRU,cnn_gru,0.157593160867691,0.2087775468826294,24.305027723312374,15.921589732170103,0.5558145046234131,55.62218890554723
RNN (LSTM/GRU),LSTM (dropout=0.2),lstm_dropout20,0.1643548607826233,0.2213311940431594,25.761273503303528,16.22876673936844,0.5007914304733276,56.52173913043478
Ensemble/Hybrid,Stacking (Ridge meta),ensemble_stack_ridge,0.1643964199048216,0.2267955701624839,23.097724308191143,15.958413347391009,0.4758375542124161,56.37181409295352
RNN (LSTM/GRU),Stacked GRU (2-layer),gru_stacked,0.1644646823406219,0.2170164734125137,27.400264143943787,16.607262194156647,0.5200653076171875,57.42128935532234
Classical ML,XGBoost (n=300),xgboost,0.1647229631390825,0.2313907719924979,22.55842665393921,15.858270852913853,0.4543818142162364,58.620689655172406
Ensemble/Hybrid,Stacking (Linear meta),ensemble_stack_linear,0.167776275867635,0.2368566365426554,23.488862547465324,16.582150275715783,0.4283004073063776,57.5712143928036
RNN (LSTM/GRU),Bidirectional GRU,bigru,0.1754951775074005,0.2270940542221069,27.085262537002563,17.797327041625977,0.4744569659233093,55.172413793103445
Classical ML,SVR (RBF kernel),svr_rbf,0.1769305693677605,0.2768840104657401,24.04357107125284,17.940656236986417,0.2187455201476265,58.77061469265368
Advanced DL,Attention BiLSTM,attention_bilstm,0.1837894320487976,0.2368713468313217,27.4666965007782,18.37164908647537,0.4282294511795044,55.02248875562219
Ensemble/Hybrid,Stacking (XGBoost meta),ensemble_stack_xgb,0.1927976292439661,0.2644178418039128,25.12427070255742,18.49143875700967,0.2875108101291075,55.92203898050975
Advanced DL,Attention LSTM,attention_lstm,0.1993476301431656,0.2559882998466491,29.676249623298645,19.91740465164185,0.3322145342826843,54.72263868065967
Advanced DL,TCN (Temporal Conv Net),tcn,0.2009366750717163,0.2582188546657562,27.38774120807648,19.99625712633133,0.3205261826515198,55.472263868065966
Classical ML,KNN (k=5),knn_k5,0.2069155734312364,0.2675426950732956,26.987044503264745,20.57296951624937,0.2705711063279681,57.42128935532234
Advanced DL,CNN-LSTM,cnn_lstm,0.2086168825626373,0.2671152651309967,28.577640652656555,20.57286500930786,0.2728999257087707,54.12293853073463
Advanced DL,CNN + Transformer,cnn_transformer,0.2446513324975967,0.3139384686946869,32.55831003189087,24.381262063980103,-0.0043517351150512,55.02248875562219
RNN (LSTM/GRU),Bidirectional LSTM,bilstm,0.2587658166885376,0.3195774257183075,30.845165252685547,25.68241655826569,-0.0407559871673584,53.223388305847074
RNN (LSTM/GRU),Stacked LSTM (2-layer),lstm_stacked,0.3512944877147674,0.4156106114387512,36.80715262889862,36.6309255361557,-0.7602323293685913,52.7736131934033
RNN (LSTM/GRU),Deep LSTM (3-layer + BN),lstm_deep,0.4819725751876831,0.5511864423751831,46.596065163612366,55.177223682403564,-2.095949411392212,52.47376311844077
RNN (LSTM/GRU),LSTM (dropout=0.4),lstm_dropout40,0.6496070623397827,0.6925742626190186,64.10272121429443,86.86482906341553,-3.8879804611206055,50.22488755622189
